Number;Identifier;Title;Author;Journal_Book;Year;Offline Explanation Acessment;Offline Explanation Metric;Number of Users;User Experiment;User Experiment Metrics;Explanation Source;Agnostic Or Post-Hoc
22;10260804;Explanation for User Trust in Context-Aware Recommender Systems for Search-As-Learning;"Rani, Neha; Qian, Yadi; Chu, Sharon Lynn";IEEE International Conference on Advanced Learning Technologies (ICALT);2023;No;-;-;Yes;Expl.Goals(online);KG;Intrinsic
23;10683822;A Trustworthy and Explainable AI Recommender System: Job Domain Case Study;"Vultureanu-Albişi, Alexandra; Murareţu, Ionuţ; Bădică, Costin";International Conference on INnovations in Intelligent SysTems and Applications (INISTA);2024;Yes;PoC;Few Examples;No;-;KG;Post-Hoc
24;9079084;A long short-term memory deep learning framework for explainable recommendation;"Zarzour, Hafed; Jararweh, Yaser; Hammad, Mahmoud M.; Al-Smadi, Mohammed";International Conference on Information and Communication Systems (ICICS);2020;Yes;Explainable Items;All dataset;No;-;Review;Intrinsic
25;9836983;A Recommender System for Recommending Suitable Products in E-shop Using Explanations;"Walek, Bogdan; Fajmon, Petr";International Conference on Artificial Intelligence, Robotics and Control (AIRC);2022;Yes;PoC;Few Examples;No;-;Collaborative;Post-Hoc
26;10873804;Explainable Recommendation System Based on Aspect-Based Sentiment Analysis;"Xiaolong, Zhou; Shijiao, Han; Zhenze, Li";International Computer Conference on Wavelet Active Media Technology and Information Processing (ICCWAMTIP);2024;Yes;PoC;Few Examples;No;-;Review;Intrinsic
27;8594883;A Reinforcement Learning Framework for Explainable Recommendation;"Wang, Xiting; Chen, Yiru; Yang, Jie; Wu, Le; Wu, Zhengtao; Xie, Xing";IEEE International Conference on Data Mining (ICDM);2018;Yes;Correlation;All dataset;Yes;A/B CTR(online);Review;Post-Hoc
28;10048787;Collaborative Meta-Path Modeling for Explainable Recommendation;"Yang, Zhe-Rui; He, Zhen-Yu; Wang, Chang-Dong; Lai, Jian-Huang; Tian, Zhihong";IEEE Transactions on Computational Social Systems;2024;Yes;PoC;Few Examples;Yes;-;Collaborative;Intrinsic
29;10446052;Active Explainable Recommendation with Limited Labeling Budgets;"Zhang, Jingsen; Bo, Xiaohe; Wang, Chenxi; Dai, Quanyu; Dong, Zhenhua; Tang, Ruiming; Chen, Xu";ICASSP - IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP);2024;Yes;NLP(BLEU/ROUGE);All dataset;No;-;Review;Post-Hoc
30;10827288;Recommendations for Healthcare: An Interpretable Approach Using Deep Learning;"Bhatti, Uzair Aslam; Yu, Yang Ke; Mamyrbayev, O. Zh.; Aitkazina, A. A.; Hao, Tang; Zhumazhan, N. O.";International Conference on Pattern Recognition and Artificial Intelligence (PRAI);2024;Yes;PoC;Few Examples;No;-;Parameters;Post-Hoc
31;9482221;Generate Personalized Explanations for Recommendation based on Keywords;"Song, Wei; Wang, Chenglong; Ning, Keqing";IEEE Advanced Information Management, Communicates, Electronic and Automation Control Conference (IMCEC);2021;Yes;NLP(BLEU/ROUGE);All dataset;No;-;Review;Intrinsic
32;10658914;Reasonable Sense of Direction: Making Course Recommendations Understandable with LLMs;"Chun, Hong Wei; Ong, Rongqing Kenneth; Khong, Andy W. H.";IEEE International Midwest Symposium on Circuits and Systems (MWSCAS);2024;Yes;PoC;Few Examples;No;-;LLM;Post-Hoc
33;10334552;Explainable Recommendation for Hazard Inspection Reasoning Through Knowledge Graph;"Chen, Zhanghui; Ai, Xinbo; Guo, Yanjun; Huang, Yitian; Yang, Jing";IEEE International Conference on Computer Science and Network Technology (ICCSNT);2023;Yes;KG;All dataset;No;-;KG;Intrinsic
34;10825771;AgroXAI: Explainable AI-Driven Crop Recommendation System for Agriculture 4.0;"Turgut, Özlem; Kök, İbrahim; Özdemir, Suat";IEEE International Conference on Big Data (Big Data);2024;Yes;PoC;All dataset;No;-;Parameters;Post-Hoc
35;10308154;Explainable Machine Learning for Crop Recommendation from Agriculture Sensor Data- a New Paradigm;"Das, Samiran; Chatterjee, Sujoy";International Conference on Computing Communication and Networking Technologies (ICCCNT);2023;Yes;PoC;All dataset;No;-;Parameters;Post-Hoc
36;10742303;Explainable Session-Based Recommendation via Path Reasoning;"Cao, Yang; Shang, Shuo; Wang, Jun; Zhang, Wei";IEEE Transactions on Knowledge and Data Engineering;2025;Yes;PoC;Few Examples;No;-;KG;Intrinsic
37;10623784;KEMB-Rec: Knowledge-Enhanced Explainable Multibehavior Recommendation With Graph Contrastive Learning;"Guo, Feipeng; Wang, Zifan";IEEE Internet of Things Journal;2025;Yes;PoC;Few Examples;No;-;KG;Post-Hoc
38;10884422;An Explainable Recommender System by Integrating Graph Neural Networks and User Reviews;"Batmani, Sahar; Moradi, Parham; Heidari, Narges; Jalili, Mahdi";IEEE International Conference on Data Mining (ICDM);2024;Yes;Precision/Recall;All dataset;No;-;Review;Intrinsic
39;SHIMIZU2022107970;An explainable recommendation framework based on an improved knowledge graph attention network with massive volumes of side information;"Shimizu, Ryotaro; Matsutani, Megumi; Goto, Masayuki";Knowledge-Based Systems;2022;Yes;PoC;Few Examples;No;-;KG;Intrinsic
40;BRUNOT2022102021;Preference-based and local post-hoc explanations for recommender systems;"Brunot, Léo; Canovas, Nicolas; Chanson, Alexandre; Labroche, Nicolas; Verdeaux, Willème";Information Systems;2022;Yes;Precision/Recall;All dataset;No;-;Parameters;Post-Hoc
41;TAO2022109300;Micro-behaviour with Reinforcement Knowledge-aware Reasoning for Explainable Recommendation;"Tao, Shaohua; Qiu, Runhe; Xu, Bo; Ping, Yuan";Knowledge-Based Systems;2022;Yes;PoC;Few Examples;No;-;KG;Intrinsic
42;TAO2021107217;Multi-modal Knowledge-aware Reinforcement Learning Network for Explainable Recommendation;"Tao, Shaohua; Qiu, Runhe; Ping, Yuan; Ma, Hui";Knowledge-Based Systems;2021;Yes;PoC;Few Examples;No;-;KG;Intrinsic
43;YANG2021106687;Accurate and Explainable Recommendation via Hierarchical Attention Network Oriented Towards Crowd Intelligence;"Yang, Chao; Zhou, Weixin; Wang, Zhiyu; Jiang, Bin; Li, Dongsheng; Shen, Huawei";Knowledge-Based Systems;2021;Yes;Precision/Recall;All dataset;No;-;Review;Intrinsic
44;LIU2020102099;Dynamic attention-based explainable recommendation with textual and visual fusion;"Liu, Peng; Zhang, Lemei; Gulla, Jon Atle";Information Processing & Management;2020;Yes;PoC;Few Examples;Yes;Expl.Goals(online);Multimodal;Intrinsic
45;LIANG202194;O3ERS: An explainable recommendation system with online learning, online recommendation, and online explanation;"Liang, Qianqiao; Zheng, Xiaolin; Wang, Yan; Zhu, Mengying";Information Sciences;2021;Yes;PoC;Few Examples;No;-;KG;Post-Hoc
46;ZANON2022109333;Balancing the trade-off between accuracy and diversity in recommender systems with personalized explanations based on Linked Open Data;"Zanon, André Levi; da Rocha, Leonardo Chaves Dutra; Manzato, Marcelo Garcia";Knowledge-Based Systems;2022;No;-;-;No;-;KG;Post-Hoc
47;PAZRUZA2024102497;Sustainable transparency on recommender systems: Bayesian ranking of images for explainability;"Paz-Ruza, Jorge; Alonso-Betanzos, Amparo; Guijarro-Berdiñas, Bertha; Cancela, Brais; Eiras-Franco, Carlos";Information Fusion;2024;No;-;-;No;-;Multimodal;Intrinsic
48;AI2025129692;An explainable recommendation algorithm based on content summarization and linear attention;"Ai, Jun; Li, Haolin; Su, Zhan; Zhao, Fengyu";Neurocomputing;2025;Yes;NLP(BLEU/ROUGE);All dataset;No;-;Review;Intrinsic
49;WEI2023202;ExpGCN: Review-aware Graph Convolution Network for explainable recommendation;"Wei, Tianjun; Chow, Tommy W. S.; Ma, Jianghong; Zhao, Mingbo";Neural Networks;2023;No;-;-;No;-;Hybrid(KG/Review);Intrinsic
50;KAUR2023100507;A deep learning knowledge graph neural network for recommender systems;"Kaur, Gurinder; Liu, Fei; Chen, Yi-Ping Phoebe";Machine Learning with Applications;2023;No;-;-;No;-;KG;Intrinsic
51;YANG2020106194;HAGERec: Hierarchical Attention Graph Convolutional Network Incorporating Knowledge Graph for Explainable Recommendation;"Yang, Zuoxi; Dong, Shoubin";Knowledge-Based Systems;2020;Yes;PoC;Few Examples;No;-;KG;Intrinsic
52;LI2024112042;An attention mechanism and residual network based knowledge graph-enhanced recommender system;"Li, Weisheng; Zhong, Hao; Zhou, Junming; Chang, Chao; Lin, Ronghua; Tang, Yong";Knowledge-Based Systems;2024;No;-;-;No;-;KG;Intrinsic
53;WANG2020436;Learning user-item paths for explainable recommendation;"Wang, Tongxuan; Zheng, Xiaolong; He, Saike; Zhang, Zhu; Wu, Desheng Dash";IFAC-PapersOnLine;2020;No;-;-;No;-;KG;Intrinsic
54;GUO2021185;TAERT: Triple-Attentional Explainable Recommendation with Temporal Convolutional Network;"Guo, Siyuan; Wang, Ying; Yuan, Hao; Huang, Zeyu; Chen, Jianwei; Wang, Xin";Information Sciences;2021;Yes;PoC;Few Examples;No;-;Review;Intrinsic
55;MARKCHOM2023110258;Scalable and explainable visually-aware recommender systems;"Markchom, Thanet; Liang, Huizhi; Ferryman, James";Knowledge-Based Systems;2023;Yes;Explainable Items;All dataset;No;-;Multimodal;Intrinsic
56;HAO2025113113;IReGNN: Implicit review-enhanced graph neural network for explainable recommendation;"Hao, Qingbo; Wang, Chundong; Xiao, Yingyuan; Zheng, Wenguang";Knowledge-Based Systems;2025;Yes;NLP(BLEU/ROUGE);All dataset;No;-;Review;Intrinsic
